area,month,orientation,inclination,c1
H2b,Février,Nord,>=75°,0.33
H2b,Février,Nord,75°> >=25°,0.67
H2b,Février,Nord,<25°,0.65
H2b,Février,Est,>=75°,0.53
H2b,Février,Est,75°> >=25°,1.12
H2b,Février,Est,<25°,0.8
H2b,Février,Horizontal,,0.78
H2b,Mars,Sud,>=75°,1
H2b,Mars,Sud,75°> >=25°,2.03
H2b,Mars,Sud,<25°,1.15
H2b,Mars,Ouest,>=75°,0.6
H2b,Mars,Ouest,75°> >=25°,1.35
H2b,Mars,Ouest,<25°,1.01
H2b,Mars,Nord,>=75°,0.34
H2b,Mars,Nord,75°> >=25°,0.73
H2b,Mars,Nord,<25°,0.86
H2b,Mars,Est,>=75°,0.6
H2b,Mars,Est,75°> >=25°,1.33
H2b,Mars,Est,<25°,1.01
H2b,Mars,Horizontal,,1
H2b,Avril,Sud,>=75°,1
H2b,Avril,Sud,75°> >=25°,2.49
H2b,Avril,Sud,<25°,1.64
H2b,Avril,Ouest,>=75°,0.9
H2b,Avril,Ouest,75°> >=25°,2.02
H2b,Avril,Ouest,<25°,1.54
H2b,Avril,Nord,>=75°,0.47
H2b,Avril,Nord,75°> >=25°,1.13
H2b,Avril,Nord,<25°,1.39
H2b,Avril,Est,>=75°,0.82
H2b,Avril,Est,75°> >=25°,1.9
H2b,Avril,Est,<25°,1.51
H2b,Avril,Horizontal,,1.51
H2b,Mai,Sud,>=75°,1
H2b,Mai,Sud,75°> >=25°,2.95
H2b,Mai,Sud,<25°,2.16
H2b,Mai,Ouest,>=75°,1.21
H2b,Mai,Ouest,75°> >=25°,2.81
H2b,Mai,Ouest,<25°,2.11
H2b,Mai,Nord,>=75°,0.63
H2b,Mai,Nord,75°> >=25°,1.74
H2b,Mai,Nord,<25°,1.98
H2b,Mai,Est,>=75°,1
H2b,Mai,Est,75°> >=25°,2.42
H2b,Mai,Est,<25°,2.03
H2b,Mai,Horizontal,,2.06
H2b,Juin,Sud,>=75°,1
H2b,Juin,Sud,75°> >=25°,3.23
H2b,Juin,Sud,<25°,2.47
H2b,Juin,Ouest,>=75°,1.21
H2b,Juin,Ouest,75°> >=25°,2.98
H2b,Juin,Ouest,<25°,2.4
H2b,Juin,Nord,>=75°,0.71
H2b,Juin,Nord,75°> >=25°,2.12
H2b,Juin,Nord,<25°,2.33
H2b,Juin,Est,>=75°,1.19
H2b,Juin,Est,75°> >=25°,2.92
H2b,Juin,Est,<25°,2.39
H2b,Juin,Horizontal,,2.39
H2b,Juillet,Sud,>=75°,1
H2b,Juillet,Sud,75°> >=25°,3.13
H2b,Juillet,Sud,<25°,2.36
H2b,Juillet,Ouest,>=75°,1.21
H2b,Juillet,Ouest,75°> >=25°,2.89
H2b,Juillet,Ouest,<25°,2.29
H2b,Juillet,Nord,>=75°,0.68
H2b,Juillet,Nord,75°> >=25°,1.99
H2b,Juillet,Nord,<25°,2.21
H2b,Juillet,Est,>=75°,1.18
H2b,Juillet,Est,75°> >=25°,2.82
H2b,Juillet,Est,<25°,2.28
H2b,Juillet,Horizontal,,2.28
H2b,Août,Sud,>=75°,1
H2b,Août,Sud,75°> >=25°,2.65
H2b,Août,Sud,<25°,1.82
H2b,Août,Ouest,>=75°,0.95
H2b,Août,Ouest,75°> >=25°,2.22
H2b,Août,Ouest,<25°,1.72
H2b,Août,Nord,>=75°,0.52
H2b,Août,Nord,75°> >=25°,1.31
H2b,Août,Nord,<25°,1.6
H2b,Août,Est,>=75°,0.91
H2b,Août,Est,75°> >=25°,2.14
H2b,Août,Est,<25°,1.71
H2b,Août,Horizontal,,1.7
H2b,Septembre,Sud,>=75°,1
H2b,Septembre,Sud,75°> >=25°,2.19
H2b,Septembre,Sud,<25°,1.29
H2b,Septembre,Ouest,>=75°,0.67
H2b,Septembre,Ouest,75°> >=25°,1.52
H2b,Septembre,Ouest,<25°,1.16
H2b,Septembre,Nord,>=75°,0.32
H2b,Septembre,Nord,75°> >=25°,0.72
H2b,Septembre,Nord,<25°,0.99
H2b,Septembre,Est,>=75°,0.62
H2b,Septembre,Est,75°> >=25°,1.44
H2b,Septembre,Est,<25°,1.14
H2b,Septembre,Horizontal,,1.14
H2b,Octobre,Sud,>=75°,1
H2b,Octobre,Sud,75°> >=25°,1.93
H2b,Octobre,Sud,<25°,1.08
H2b,Octobre,Ouest,>=75°,0.59
H2b,Octobre,Ouest,75°> >=25°,1.31
H2b,Octobre,Ouest,<25°,0.96
H2b,Octobre,Nord,>=75°,0.39
H2b,Octobre,Nord,75°> >=25°,0.83
H2b,Octobre,Nord,<25°,0.82
H2b,Octobre,Est,>=75°,0.55
H2b,Octobre,Est,75°> >=25°,1.24
H2b,Octobre,Est,<25°,0.95
H2b,Octobre,Horizontal,,0.95
H2b,Novembre,Sud,>=75°,1
H2b,Novembre,Sud,75°> >=25°,1.74
H2b,Novembre,Sud,<25°,0.86
H2b,Novembre,Ouest,>=75°,0.48
H2b,Novembre,Ouest,75°> >=25°,1.03
H2b,Novembre,Ouest,<25°,0.73
H2b,Novembre,Nord,>=75°,0.33
H2b,Novembre,Nord,75°> >=25°,0.7
H2b,Novembre,Nord,<25°,0.6
H2b,Novembre,Est,>=75°,0.47
H2b,Novembre,Est,75°> >=25°,1
H2b,Novembre,Est,<25°,0.72
H2b,Novembre,Horizontal,,0.72
H2b,Décembre,Sud,>=75°,1
H2b,Décembre,Sud,75°> >=25°,1.72
H2b,Décembre,Sud,<25°,0.84
H2b,Décembre,Ouest,>=75°,0.46
H2b,Décembre,Ouest,75°> >=25°,0.99
H2b,Décembre,Ouest,<25°,0.72
H2b,Décembre,Nord,>=75°,0.36
H2b,Décembre,Nord,75°> >=25°,0.77
H2b,Décembre,Nord,<25°,0.61
H2b,Décembre,Est,>=75°,0.47
H2b,Décembre,Est,75°> >=25°,1
H2b,Décembre,Est,<25°,0.72
H2b,Décembre,Horizontal,,0.71
H2c,Janvier,Sud,>=75°,1
H2c,Janvier,Sud,75°> >=25°,1.71
H2c,Janvier,Sud,<25°,0.8
H2c,Janvier,Ouest,>=75°,0.4
H2c,Janvier,Ouest,75°> >=25°,0.89
H2c,Janvier,Ouest,<25°,0.65
H2c,Janvier,Nord,>=75°,0.28
H2c,Janvier,Nord,75°> >=25°,0.57
H2c,Janvier,Nord,<25°,0.52
H2c,Janvier,Est,>=75°,0.4
H2c,Janvier,Est,75°> >=25°,0.87
H2c,Janvier,Est,<25°,0.65
H2c,Janvier,Horizontal,,0.64
H2c,Février,Sud,>=75°,1
H2c,Février,Sud,75°> >=25°,1.84
H2c,Février,Sud,<25°,0.96
H2c,Février,Ouest,>=75°,0.49
H2c,Février,Ouest,75°> >=25°,1.11
H2c,Février,Ouest,<25°,0.83
H2c,Février,Nord,>=75°,0.33
H2c,Février,Nord,75°> >=25°,0.68
H2c,Février,Nord,<25°,0.68
H2c,Février,Est,>=75°,0.51
H2c,Février,Est,75°> >=25°,1.11
H2c,Février,Est,<25°,0.83
H2c,Février,Horizontal,,0.82
H2c,Mars,Sud,>=75°,1
H2c,Mars,Sud,75°> >=25°,2.13
H2c,Mars,Sud,<25°,1.26
H2c,Mars,Ouest,>=75°,0.64
H2c,Mars,Ouest,75°> >=25°,1.46
H2c,Mars,Ouest,<25°,1.13
H2c,Mars,Nord,>=75°,0.37
H2c,Mars,Nord,75°> >=25°,0.8
H2c,Mars,Nord,<25°,0.98
H2c,Mars,Est,>=75°,0.64
H2c,Mars,Est,75°> >=25°,1.46
H2c,Mars,Est,<25°,1.13
H2c,Mars,Horizontal,,1.12
H2c,Avril,Sud,>=75°,1
H2c,Avril,Sud,75°> >=25°,2.54
H2c,Avril,Sud,<25°,1.7
H2c,Avril,Ouest,>=75°,0.84
H2c,Avril,Ouest,75°> >=25°,1.98
H2c,Avril,Ouest,<25°,1.59
H2c,Avril,Nord,>=75°,0.51
H2c,Avril,Nord,75°> >=25°,1.24
H2c,Avril,Nord,<25°,1.48
H2c,Avril,Est,>=75°,0.9
H2c,Avril,Est,75°> >=25°,2.09
H2c,Avril,Est,<25°,1.61
H2c,Avril,Horizontal,,1.59
H2c,Mai,Sud,>=75°,1
H2c,Mai,Sud,75°> >=25°,2.99
H2c,Mai,Sud,<25°,2.23
H2c,Mai,Ouest,>=75°,1.21
H2c,Mai,Ouest,75°> >=25°,2.84
H2c,Mai,Ouest,<25°,2.18
H2c,Mai,Nord,>=75°,0.69
H2c,Mai,Nord,75°> >=25°,1.92
H2c,Mai,Nord,<25°,2.08
H2c,Mai,Est,>=75°,1.06
H2c,Mai,Est,75°> >=25°,2.58
H2c,Mai,Est,<25°,2.13
H2c,Mai,Horizontal,,2.14
H2c,Juin,Sud,>=75°,1
H2c,Juin,Sud,75°> >=25°,3.24
H2c,Juin,Sud,<25°,2.54
H2c,Juin,Ouest,>=75°,1.27
H2c,Juin,Ouest,75°> >=25°,3.07
H2c,Juin,Ouest,<25°,2.48
H2c,Juin,Nord,>=75°,0.79
H2c,Juin,Nord,75°> >=25°,2.37
H2c,Juin,Nord,<25°,2.43
H2c,Juin,Est,>=75°,1.32
H2c,Juin,Est,75°> >=25°,3.15
H2c,Juin,Est,<25°,2.5
H2c,Juin,Horizontal,,2.48
H2c,Juillet,Sud,>=75°,1
H2c,Juillet,Sud,75°> >=25°,3.17
H2c,Juillet,Sud,<25°,2.43
H2c,Juillet,Ouest,>=75°,1.23
H2c,Juillet,Ouest,75°> >=25°,2.96
H2c,Juillet,Ouest,<25°,2.37
H2c,Juillet,Nord,>=75°,0.74
H2c,Juillet,Nord,75°> >=25°,2.16
H2c,Juillet,Nord,<25°,2.3
H2c,Juillet,Est,>=75°,1.2
H2c,Juillet,Est,75°> >=25°,2.92
H2c,Juillet,Est,<25°,2.36
H2c,Juillet,Horizontal,,2.35
H2c,Août,Sud,>=75°,1
H2c,Août,Sud,75°> >=25°,2.74
H2c,Août,Sud,<25°,1.92
H2c,Août,Ouest,>=75°,0.99
H2c,Août,Ouest,75°> >=25°,2.32
H2c,Août,Ouest,<25°,1.83
H2c,Août,Nord,>=75°,0.57
H2c,Août,Nord,75°> >=25°,1.47
H2c,Août,Nord,<25°,1.72
H2c,Août,Est,>=75°,0.96
H2c,Août,Est,75°> >=25°,2.28
H2c,Août,Est,<25°,1.82
H2c,Août,Horizontal,,1.81
H2c,Septembre,Sud,>=75°,1
H2c,Septembre,Sud,75°> >=25°,2.24
H2c,Septembre,Sud,<25°,1.35
H2c,Septembre,Ouest,>=75°,0.63
H2c,Septembre,Ouest,75°> >=25°,1.47
H2c,Septembre,Ouest,<25°,1.19
H2c,Septembre,Nord,>=75°,0.36
H2c,Septembre,Nord,75°> >=25°,0.82
H2c,Septembre,Nord,<25°,1.06
H2c,Septembre,Est,>=75°,0.75
H2c,Septembre,Est,75°> >=25°,1.67
H2c,Septembre,Est,<25°,1.24
H2c,Septembre,Horizontal,,1.21
H2c,Octobre,Sud,>=75°,1
H2c,Octobre,Sud,75°> >=25°,1.93
H2c,Octobre,Sud,<25°,1.06
H2c,Octobre,Ouest,>=75°,0.6
H2c,Octobre,Ouest,75°> >=25°,1.31
H2c,Octobre,Ouest,<25°,0.94
H2c,Octobre,Nord,>=75°,0.33
H2c,Octobre,Nord,75°> >=25°,0.69
H2c,Octobre,Nord,<25°,0.77
H2c,Octobre,Est,>=75°,0.48
H2c,Octobre,Est,75°> >=25°,1.12
H2c,Octobre,Est,<25°,0.9
H2c,Octobre,Horizontal,,0.91
H2c,Novembre,Sud,>=75°,1
H2c,Novembre,Sud,75°> >=25°,1.79
H2c,Novembre,Sud,<25°,0.92
H2c,Novembre,Ouest,>=75°,0.54
H2c,Novembre,Ouest,75°> >=25°,1.17
H2c,Novembre,Ouest,<25°,0.81
H2c,Novembre,Nord,>=75°,0.35
H2c,Novembre,Nord,75°> >=25°,0.74
H2c,Novembre,Nord,<25°,0.66
H2c,Novembre,Est,>=75°,0.42
H2c,Novembre,Est,75°> >=25°,0.96
H2c,Novembre,Est,<25°,0.77
H2c,Novembre,Horizontal,,0.78
H2c,Décembre,Sud,>=75°,1
H2c,Décembre,Sud,75°> >=25°,1.71
H2c,Décembre,Sud,<25°,0.81
H2c,Décembre,Ouest,>=75°,0.42
H2c,Décembre,Ouest,75°> >=25°,0.93
H2c,Décembre,Ouest,<25°,0.68
H2c,Décembre,Nord,>=75°,0.31
H2c,Décembre,Nord,75°> >=25°,0.67
H2c,Décembre,Nord,<25°,0.56
H2c,Décembre,Est,>=75°,0.42
H2c,Décembre,Est,75°> >=25°,0.92
H2c,Décembre,Est,<25°,0.68
H2c,Décembre,Horizontal,,0.67
H2d,Janvier,Sud,>=75°,1
H2d,Janvier,Sud,75°> >=25°,1.64
H2d,Janvier,Sud,<25°,0.7
H2d,Janvier,Ouest,>=75°,0.39
H2d,Janvier,Ouest,75°> >=25°,0.81
H2d,Janvier,Ouest,<25°,0.55
H2d,Janvier,Nord,>=75°,0.2
H2d,Janvier,Nord,75°> >=25°,0.4
H2d,Janvier,Nord,<25°,0.39
H2d,Janvier,Est,>=75°,0.33
H2d,Janvier,Est,75°> >=25°,0.71
H2d,Janvier,Est,<25°,0.53
H2d,Janvier,Horizontal,,0.53
H2d,Février,Sud,>=75°,1
H2d,Février,Sud,75°> >=25°,1.77
H2d,Février,Sud,<25°,0.85
H2d,Février,Ouest,>=75°,0.46
H2d,Février,Ouest,75°> >=25°,0.99
H2d,Février,Ouest,<25°,0.7
H2d,Février,Nord,>=75°,0.23
H2d,Février,Nord,75°> >=25°,0.45
H2d,Février,Nord,<25°,0.53
H2d,Février,Est,>=75°,0.41
H2d,Février,Est,75°> >=25°,0.9
H2d,Février,Est,<25°,0.68
H2d,Février,Horizontal,,0.68
H2d,Mars,Sud,>=75°,1
H2d,Mars,Sud,75°> >=25°,2.09
H2d,Mars,Sud,<25°,1.18
H2d,Mars,Ouest,>=75°,0.64
H2d,Mars,Ouest,75°> >=25°,1.43
H2d,Mars,Ouest,<25°,1.05
H2d,Mars,Nord,>=75°,0.3
H2d,Mars,Nord,75°> >=25°,0.64
H2d,Mars,Nord,<25°,0.87
H2d,Mars,Est,>=75°,0.55
H2d,Mars,Est,75°> >=25°,1.28
H2d,Mars,Est,<25°,1.02
H2d,Mars,Horizontal,,1.03
H2d,Avril,Sud,>=75°,1
H2d,Avril,Sud,75°> >=25°,2.56
H2d,Avril,Sud,<25°,1.66
H2d,Avril,Ouest,>=75°,0.91
H2d,Avril,Ouest,75°> >=25°,2.08
H2d,Avril,Ouest,<25°,1.56
H2d,Avril,Nord,>=75°,0.4
H2d,Avril,Nord,75°> >=25°,1
H2d,Avril,Nord,<25°,1.39
H2d,Avril,Est,>=75°,0.73
H2d,Avril,Est,75°> >=25°,1.8
H2d,Avril,Est,<25°,1.5
H2d,Avril,Horizontal,,1.53
H2d,Mai,Sud,>=75°,1
H2d,Mai,Sud,75°> >=25°,3.08
H2d,Mai,Sud,<25°,2.27
H2d,Mai,Ouest,>=75°,1.24
H2d,Mai,Ouest,75°> >=25°,2.9
H2d,Mai,Ouest,<25°,2.23
H2d,Mai,Nord,>=75°,0.64
H2d,Mai,Nord,75°> >=25°,1.82
H2d,Mai,Nord,<25°,2.1
H2d,Mai,Est,>=75°,1.02
H2d,Mai,Est,75°> >=25°,2.56
H2d,Mai,Est,<25°,2.15
H2d,Mai,Horizontal,,2.18
H2d,Juin,Sud,>=75°,1
H2d,Juin,Sud,75°> >=25°,3.58
H2d,Juin,Sud,<25°,2.84
H2d,Juin,Ouest,>=75°,1.54
H2d,Juin,Ouest,75°> >=25°,3.62
H2d,Juin,Ouest,<25°,2.81
H2d,Juin,Nord,>=75°,0.74
H2d,Juin,Nord,75°> >=25°,2.45
H2d,Juin,Nord,<25°,2.7
H2d,Juin,Est,>=75°,1.33
H2d,Juin,Est,75°> >=25°,3.29
H2d,Juin,Est,<25°,2.74
H2d,Juin,Horizontal,,2.76
H2d,Juillet,Sud,>=75°,1
H2d,Juillet,Sud,75°> >=25°,3.53
H2d,Juillet,Sud,<25°,2.73
H2d,Juillet,Ouest,>=75°,1.34
H2d,Juillet,Ouest,75°> >=25°,3.24
H2d,Juillet,Ouest,<25°,2.64
H2d,Juillet,Nord,>=75°,0.65
H2d,Juillet,Nord,75°> >=25°,2.16
H2d,Juillet,Nord,<25°,2.55
H2d,Juillet,Est,>=75°,1.4
H2d,Juillet,Est,75°> >=25°,3.35
H2d,Juillet,Est,<25°,2.66
H2d,Juillet,Horizontal,,2.64
H2d,Août,Sud,>=75°,1
H2d,Août,Sud,75°> >=25°,2.9
H2d,Août,Sud,<25°,2.03
H2d,Août,Ouest,>=75°,1.08
H2d,Août,Ouest,75°> >=25°,2.5
H2d,Août,Ouest,<25°,1.93
H2d,Août,Nord,>=75°,0.48
H2d,Août,Nord,75°> >=25°,1.33
H2d,Août,Nord,<25°,1.78
H2d,Août,Est,>=75°,0.94
H2d,Août,Est,75°> >=25°,2.29
H2d,Août,Est,<25°,1.89
H2d,Août,Horizontal,,1.9
H2d,Septembre,Sud,>=75°,1
H2d,Septembre,Sud,75°> >=25°,2.29
H2d,Septembre,Sud,<25°,1.39
H2d,Septembre,Ouest,>=75°,0.76
H2d,Septembre,Ouest,75°> >=25°,1.7
H2d,Septembre,Ouest,<25°,1.27
H2d,Septembre,Nord,>=75°,0.34
H2d,Septembre,Nord,75°> >=25°,0.78
H2d,Septembre,Nord,<25°,1.09
H2d,Septembre,Est,>=75°,0.63
H2d,Septembre,Est,75°> >=25°,1.51
H2d,Septembre,Est,<25°,1.23
H2d,Septembre,Horizontal,,1.25
H2d,Octobre,Sud,>=75°,1
H2d,Octobre,Sud,75°> >=25°,1.91
H2d,Octobre,Sud,<25°,1.01
H2d,Octobre,Ouest,>=75°,0.62
H2d,Octobre,Ouest,75°> >=25°,1.31
H2d,Octobre,Ouest,<25°,0.89
H2d,Octobre,Nord,>=75°,0.28
H2d,Octobre,Nord,75°> >=25°,0.58
H2d,Octobre,Nord,<25°,0.7
H2d,Octobre,Est,>=75°,0.42
H2d,Octobre,Est,75°> >=25°,0.99
H2d,Octobre,Est,<25°,0.83
H2d,Octobre,Horizontal,,0.85
H2d,Novembre,Sud,>=75°,1
H2d,Novembre,Sud,75°> >=25°,1.66
H2d,Novembre,Sud,<25°,0.72
H2d,Novembre,Ouest,>=75°,0.36
H2d,Novembre,Ouest,75°> >=25°,0.77
H2d,Novembre,Ouest,<25°,0.56
H2d,Novembre,Nord,>=75°,0.2
H2d,Novembre,Nord,75°> >=25°,0.4
H2d,Novembre,Nord,<25°,0.41
H2d,Novembre,Est,>=75°,0.38
H2d,Novembre,Est,75°> >=25°,0.8
H2d,Novembre,Est,<25°,0.56
H2d,Novembre,Horizontal,,0.55
H2d,Décembre,Sud,>=75°,1
H2d,Décembre,Sud,75°> >=25°,1.59
H2d,Décembre,Sud,<25°,0.64
H2d,Décembre,Ouest,>=75°,0.4
H2d,Décembre,Ouest,75°> >=25°,0.79
H2d,Décembre,Ouest,<25°,0.5
H2d,Décembre,Nord,>=75°,0.18
H2d,Décembre,Nord,75°> >=25°,0.36
H2d,Décembre,Nord,<25°,0.34
H2d,Décembre,Est,>=75°,0.26
H2d,Décembre,Est,75°> >=25°,0.59
H2d,Décembre,Est,<25°,0.46
H2d,Décembre,Horizontal,,0.47
H3,Janvier,Sud,>=75°,1
H3,Janvier,Sud,75°> >=25°,1.63
H3,Janvier,Sud,<25°,0.67
H3,Janvier,Ouest,>=75°,0.42
H3,Janvier,Ouest,75°> >=25°,0.83
H3,Janvier,Ouest,<25°,0.53
H3,Janvier,Nord,>=75°,0.17
H3,Janvier,Nord,75°> >=25°,0.34
H3,Janvier,Nord,<25°,0.35
H3,Janvier,Est,>=75°,0.28
H3,Janvier,Est,75°> >=25°,0.63
H3,Janvier,Est,<25°,0.49
H3,Janvier,Horizontal,,0.5
H3,Février,Sud,>=75°,1
H3,Février,Sud,75°> >=25°,1.77
H3,Février,Sud,<25°,0.83
H3,Février,Ouest,>=75°,0.48
H3,Février,Ouest,75°> >=25°,1.02
H3,Février,Ouest,<25°,0.69
H3,Février,Nord,>=75°,0.21
H3,Février,Nord,75°> >=25°,0.4
H3,Février,Nord,<25°,0.51
H3,Février,Est,>=75°,0.35
H3,Février,Est,75°> >=25°,0.8
H3,Février,Est,<25°,0.65
H3,Février,Horizontal,,0.66
H3,Mars,Sud,>=75°,1
H3,Mars,Sud,75°> >=25°,2.08
H3,Mars,Sud,<25°,1.17
H3,Mars,Ouest,>=75°,0.71
H3,Mars,Ouest,75°> >=25°,1.53
H3,Mars,Ouest,<25°,1.07
H3,Mars,Nord,>=75°,0.29
H3,Mars,Nord,75°> >=25°,0.63
H3,Mars,Nord,<25°,0.86
H3,Mars,Est,>=75°,0.49
H3,Mars,Est,75°> >=25°,1.17
H3,Mars,Est,<25°,0.99
H3,Mars,Horizontal,,1.02
H3,Avril,Sud,>=75°,1
H3,Avril,Sud,75°> >=25°,2.6
H3,Avril,Sud,<25°,1.72
H3,Avril,Ouest,>=75°,0.85
H3,Avril,Ouest,75°> >=25°,1.98
H3,Avril,Ouest,<25°,1.58
H3,Avril,Nord,>=75°,0.43
H3,Avril,Nord,75°> >=25°,1.1
H3,Avril,Nord,<25°,1.46
H3,Avril,Est,>=75°,0.93
H3,Avril,Est,75°> >=25°,2.13
H3,Avril,Est,<25°,1.62
H3,Avril,Horizontal,,1.59
H3,Mai,Sud,>=75°,1
H3,Mai,Sud,75°> >=25°,3.2
H3,Mai,Sud,<25°,2.38
H3,Mai,Ouest,>=75°,1.3
H3,Mai,Ouest,75°> >=25°,3.04
H3,Mai,Ouest,<25°,2.34
H3,Mai,Nord,>=75°,0.62
H3,Mai,Nord,75°> >=25°,1.85
H3,Mai,Nord,<25°,2.19
H3,Mai,Est,>=75°,1.03
H3,Mai,Est,75°> >=25°,2.62
H3,Mai,Est,<25°,2.24
H3,Mai,Horizontal,,2.28
H3,Juin,Sud,>=75°,1
H3,Juin,Sud,75°> >=25°,3.55
H3,Juin,Sud,<25°,2.8
H3,Juin,Ouest,>=75°,1.54
H3,Juin,Ouest,75°> >=25°,3.65
H3,Juin,Ouest,<25°,2.8
H3,Juin,Nord,>=75°,0.74
H3,Juin,Nord,75°> >=25°,2.41
H3,Juin,Nord,<25°,2.65
H3,Juin,Est,>=75°,1.17
H3,Juin,Est,75°> >=25°,3.04
H3,Juin,Est,<25°,2.66
H3,Juin,Horizontal,,2.72
H3,Juillet,Sud,>=75°,1
H3,Juillet,Sud,75°> >=25°,3.45
H3,Juillet,Sud,<25°,2.66
H3,Juillet,Ouest,>=75°,1.4
H3,Juillet,Ouest,75°> >=25°,3.34
H3,Juillet,Ouest,<25°,2.62
H3,Juillet,Nord,>=75°,0.66
H3,Juillet,Nord,75°> >=25°,2.14
H3,Juillet,Nord,<25°,2.49
H3,Juillet,Est,>=75°,1.17
H3,Juillet,Est,75°> >=25°,2.99
H3,Juillet,Est,<25°,2.54
H3,Juillet,Horizontal,,2.57
H3,Août,Sud,>=75°,1
H3,Août,Sud,75°> >=25°,2.89
H3,Août,Sud,<25°,2.01
H3,Août,Ouest,>=75°,1.11
H3,Août,Ouest,75°> >=25°,2.6
H3,Août,Ouest,<25°,1.96
H3,Août,Nord,>=75°,0.49
H3,Août,Nord,75°> >=25°,1.35
H3,Août,Nord,<25°,1.77
H3,Août,Est,>=75°,0.81
H3,Août,Est,75°> >=25°,2.08
H3,Août,Est,<25°,1.84
H3,Août,Horizontal,,1.89
H3,Septembre,Sud,>=75°,1
H3,Septembre,Sud,75°> >=25°,2.29
H3,Septembre,Sud,<25°,1.41
H3,Septembre,Ouest,>=75°,0.83
H3,Septembre,Ouest,75°> >=25°,1.84
H3,Septembre,Ouest,<25°,1.32
H3,Septembre,Nord,>=75°,0.37
H3,Septembre,Nord,75°> >=25°,0.86
H3,Septembre,Nord,<25°,1.13
H3,Septembre,Est,>=75°,0.58
H3,Septembre,Est,75°> >=25°,1.44
H3,Septembre,Est,<25°,1.24
H3,Septembre,Horizontal,,1.27
H3,Octobre,Sud,>=75°,1
H3,Octobre,Sud,75°> >=25°,1.9
H3,Octobre,Sud,<25°,0.99
H3,Octobre,Ouest,>=75°,0.65
H3,Octobre,Ouest,75°> >=25°,1.36
H3,Octobre,Ouest,<25°,0.89
H3,Octobre,Nord,>=75°,0.27
H3,Octobre,Nord,75°> >=25°,0.54
H3,Octobre,Nord,<25°,0.68
H3,Octobre,Est,>=75°,0.37
H3,Octobre,Est,75°> >=25°,0.9
H3,Octobre,Est,<25°,0.79
H3,Octobre,Horizontal,,0.83
H3,Novembre,Sud,>=75°,1
H3,Novembre,Sud,75°> >=25°,1.71
H3,Novembre,Sud,<25°,0.78
H3,Novembre,Ouest,>=75°,0.38
H3,Novembre,Ouest,75°> >=25°,0.83
H3,Novembre,Ouest,<25°,0.62
H3,Novembre,Nord,>=75°,0.24
H3,Novembre,Nord,75°> >=25°,0.48
H3,Novembre,Nord,<25°,0.48
H3,Novembre,Est,>=75°,0.43
H3,Novembre,Est,75°> >=25°,0.91
H3,Novembre,Est,<25°,0.64
H3,Novembre,Horizontal,,0.62
H3,Décembre,Sud,>=75°,1
H3,Décembre,Sud,75°> >=25°,1.59
H3,Décembre,Sud,<25°,0.63
H3,Décembre,Ouest,>=75°,0.41
H3,Décembre,Ouest,75°> >=25°,0.81
H3,Décembre,Ouest,<25°,0.5
H3,Décembre,Nord,>=75°,0.17
H3,Décembre,Nord,75°> >=25°,0.34
H3,Décembre,Nord,<25°,0.33
H3,Décembre,Est,>=75°,0.25
H3,Décembre,Est,75°> >=25°,0.56
H3,Décembre,Est,<25°,0.45
H3,Décembre,Horizontal,,0.46
