area,month,orientation,inclination,c1
H1a,Octobre,Horizontal,,0.81
H1a,Novembre,Sud,>=75°,1
H1a,Novembre,Sud,75°> >=25°,1.74
H1a,Novembre,Sud,<25°,0.86
H1a,Novembre,Ouest,>=75°,0.42
H1a,Novembre,Ouest,75°> >=25°,0.94
H1a,Novembre,Ouest,<25°,0.72
H1a,Novembre,Nord,>=75°,0.36
H1a,Novembre,Nord,75°> >=25°,0.76
H1a,Novembre,Nord,<25°,0.62
H1a,Novembre,Est,>=75°,0.51
H1a,Novembre,Est,75°> >=25°,1.07
H1a,Novembre,Est,<25°,0.75
H1a,Novembre,Horizontal,,0.73
H1a,Décembre,Sud,>=75°,1
H1a,Décembre,Sud,75°> >=25°,1.59
H1a,Décembre,Sud,<25°,0.66
H1a,Décembre,Ouest,>=75°,0.38
H1a,Décembre,Ouest,75°> >=25°,0.77
H1a,Décembre,Ouest,<25°,0.52
H1a,Décembre,Nord,>=75°,0.25
H1a,Décembre,Nord,75°> >=25°,0.52
H1a,Décembre,Nord,<25°,0.41
H1a,Décembre,Est,>=75°,0.35
H1a,Décembre,Est,75°> >=25°,0.73
H1a,Décembre,Est,<25°,0.52
H1a,Décembre,Horizontal,,0.51
H1b,Janvier,Sud,>=75°,1
H1b,Janvier,Sud,75°> >=25°,1.65
H1b,Janvier,Sud,<25°,0.72
H1b,Janvier,Ouest,>=75°,0.41
H1b,Janvier,Ouest,75°> >=25°,0.84
H1b,Janvier,Ouest,<25°,0.6
H1b,Janvier,Nord,>=75°,0.27
H1b,Janvier,Nord,75°> >=25°,0.56
H1b,Janvier,Nord,<25°,0.47
H1b,Janvier,Est,>=75°,0.37
H1b,Janvier,Est,75°> >=25°,0.81
H1b,Janvier,Est,<25°,0.58
H1b,Janvier,Horizontal,,0.58
H1b,Février,Sud,>=75°,1
H1b,Février,Sud,75°> >=25°,1.8
H1b,Février,Sud,<25°,0.84
H1b,Février,Ouest,>=75°,0.53
H1b,Février,Ouest,75°> >=25°,1.13
H1b,Février,Ouest,<25°,0.71
H1b,Février,Nord,>=75°,0.35
H1b,Février,Nord,75°> >=25°,0.72
H1b,Février,Nord,<25°,0.66
H1b,Février,Est,>=75°,0.49
H1b,Février,Est,75°> >=25°,1.06
H1b,Février,Est,<25°,0.78
H1b,Février,Horizontal,,0.78
H1b,Mars,Sud,>=75°,1
H1b,Mars,Sud,75°> >=25°,2.04
H1b,Mars,Sud,<25°,1.07
