inertie,altitude,month,zone_climatique,E-pv(kWh/m²),Text(°C),E(kWh/m²),Nref(19°C),DH19(°Ch),DH14(°Ch),Nref(21°C),DH21(°Ch),Tefs(°C),Textmoy_clim(°C)Tcons=26°C,Textmoy_clim(°C)Tcons=28°C,E_fr(kWh/m²)Tcons=26°C,E_fr(kWh/m²)Tcons=28°C,Nref(26°C),Nref(28°C),DH26(°Ch),DH28(°Ch)
Légère ou Moyenne,800,Novembre,H1c,62.7,5.6,45.76,718,9154.2,6054.9,720,10593.5,9.3,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Décembre,H1c,43.5,1.2,33.59,744,12372.4,9504.4,744,13860.4,5.3,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Janvier,H1c,61.5,1.8,47.86,744,12341.2,9115.3,744,13829.2,4.1,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Février,H1c,81.3,1.9,55.9,672,11034.3,8106.3,672,12378.3,2.4,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Mars,H1c,149.7,6.5,91.2,743,8843.1,5638.5,744,10330.9,6.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Avril,H1c,178.3,9.6,86.83,680,6396.5,3536.6,711,7787,7,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Mai,H1c,185,14.6,81.59,582,3424.8,1223.4,632,4637.2,12.1,29.3,29.3,3.08,0,8,5,73,20.1
Lourde ou Très lourde,800,Juin,H1c,228.2,13.7,24.21,121,729.2,278.8,134,986.2,13.7,29.5,29.5,11.8,4.61,46,19,211,89.8
Lourde ou Très lourde,800,Juillet,H1c,236.7,0,0,0,0,0,0,0,16.2,29.2,29.2,25.12,14.28,88,46,438.1,191.5
Lourde ou Très lourde,800,Août,H1c,211.5,0,0,0,0,0,0,0,16.8,29.4,29.4,32.34,17.37,91,46,436.1,202.8
Lourde ou Très lourde,800,Septembre,H1c,166.7,15,43.65,263,1458,425.5,301,2018.5,16,0,0,3.05,0,9,0,51.8,8.3
Lourde ou Très lourde,800,Octobre,H1c,100.3,11.5,66.87,652,5280.4,2720.9,697,6634.5,13.8,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Novembre,H1c,62.7,5.6,45.76,718,9154.2,6054.9,720,10593.5,9.3,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Décembre,H1c,43.5,1.2,33.59,744,12372.4,9504.4,744,13860.4,5.3,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Janvier,H1c,61.5,-0.2,47.86,744,13829.2,10601.2,744,15317.2,2.1,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Février,H1c,81.3,-0.1,55.9,672,12378.3,9450.3,672,13722.3,0.4,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Mars,H1c,149.7,4.5,91.2,744,10330.9,7091.2,744,11818.9,4.5,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Avril,H1c,178.3,7.6,86.83,711,7787,4784.4,717,9216.3,5,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Mai,H1c,185,12.6,81.59,632,4637.2,2087.5,671,5941.6,10.1,27.3,28.4,2.03,0.33,5,1,6.7,0.4
Légère ou Moyenne,8000,Juin,H1c,228.2,12.3,53.86,429,2989.4,1228.6,466,3877.5,11.7,27.5,28.7,4.61,1.1,19,4,28,2.9
Légère ou Moyenne,8000,Juillet,H1c,236.7,0,0,0,0,0,0,0,14.2,27.2,28.4,14.28,1.2,46,5,56.3,2.2
Légère ou Moyenne,8000,Août,H1c,211.5,0,0,0,0,0,0,0,14.8,27.4,28.9,17.37,5.03,46,13,62.5,11.1
Légère ou Moyenne,8000,Septembre,H1c,166.7,13.8,91.65,566,3576,1322.74,626,4767,14,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Octobre,H1c,100.3,9.5,66.87,697,6634.5,3781.7,732,8069.3,11.8,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Novembre,H1c,62.7,3.6,45.76,720,10593.5,7474.7,720,12033.5,7.3,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Décembre,H1c,43.5,-0.8,33.59,744,13860.4,10992.4,744,15348.4,3.3,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Janvier,H1c,61.5,-0.2,47.86,744,13829.2,10601.2,744,15317.2,2.1,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Février,H1c,81.3,-0.1,55.9,672,12378.3,9450.3,672,13722.3,0.4,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Mars,H1c,149.7,4.5,91.2,744,10330.9,7091.2,744,11818.9,4.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Avril,H1c,178.3,7.6,86.83,711,7787,4784.4,717,9216.3,5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Mai,H1c,185,12.6,81.59,632,4637.2,2087.5,671,5941.6,10.1,27.3,28.4,2.03,0.33,5,1,6.7,0.4
Lourde ou Très lourde,8000,Juin,H1c,228.2,10.7,11.4,94,748.3,355.8,96,939.6,11.7,27.5,28.7,4.61,1.1,19,4,28,2.9
Lourde ou Très lourde,8000,Juillet,H1c,236.7,0,0,0,0,0,0,0,14.2,27.2,28.4,14.28,1.2,46,5,56.3,2.2
Lourde ou Très lourde,8000,Août,H1c,211.5,0,0,0,0,0,0,0,14.8,27.4,28.9,17.37,5.03,46,13,62.5,11.1
Lourde ou Très lourde,8000,Septembre,H1c,166.7,13.2,33.16,244,1612.4,623.8,266,2124.5,14,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Octobre,H1c,100.3,9.5,66.87,697,6634.5,3781.7,732,8069.3,11.8,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Novembre,H1c,62.7,3.6,45.76,720,10593.5,7474.7,720,12033.5,7.3,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Décembre,H1c,43.5,-0.8,33.59,744,13860.4,10992.4,744,15348.4,3.3,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Janvier,H2a,52.6,5.8,39.47,744,9307.3,6080,744,10795.3,8.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Février,H2a,86.2,4.4,61.19,672,9402.9,6474.9,672,10746.9,7.2,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mars,H2a,150.4,8.6,95.11,727,7252.2,4167.5,741,8719.6,8.2,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Avril,H2a,159.3,10.2,84.18,698,5896.3,2967.3,712,7309.9,9.6,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mai,H2a,184.3,13.8,87.48,636,3619.8,1233,706,4964.6,11.1,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Juin,H2a,214.3,15.4,29.28,179,880.2,217.4,210,1271.2,16.3,28.6,29.6,9.47,5.25,86,19,85.5,29.6
Légère ou Moyenne,400,Juillet,H2a,210.3,0,0,0,0,0,0,0,18.7,28.6,29.8,23.6,13.71,197,42,197.5,74.4
Légère ou Moyenne,400,Août,H2a,186.8,0,0,0,0,0,0,0,17.1,28.5,29.8,14.6,9.53,101,23,101,42
Légère ou Moyenne,400,Septembre,H2a,165.7,14,44.42,269,1608.5,597.5,304,2190.7,18.2,28.2,29.6,9.78,3.81,51,10,50.5,16.1
Légère ou Moyenne,400,Octobre,H2a,92.3,12.6,61.93,693,4334.8,1613.7,736,5770.5,15.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Novembre,H2a,83.3,9.4,63.38,720,6404,3341.2,720,7844,13.3,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Décembre,H2a,52.1,6.2,41.26,744,8679.6,5818.4,744,10167.6,10.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Janvier,H2a,52.6,5.8,39.47,744,9307.3,6080,744,10795.3,8.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Février,H2a,86.2,4.4,61.19,672,9402.9,6474.9,672,10746.9,7.2,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mars,H2a,150.4,8.6,95.11,727,7252.2,4167.5,741,8719.6,8.2,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Avril,H2a,159.3,10.2,84.18,698,5896.3,2967.3,712,7309.9,9.6,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mai,H2a,184.3,13.5,71.22,519,3070,1120,569,4160.5,11.1,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Juin,H2a,214.3,0,0,0,0,0,0,0,16.3,28.6,29.6,9.47,5.25,86,19,85.5,29.6
Lourde ou Très lourde,400,Juillet,H2a,210.3,0,0,0,0,0,0,0,18.7,28.6,29.8,23.6,13.71,197,42,197.5,74.4
Lourde ou Très lourde,400,Août,H2a,186.8,0,0,0,0,0,0,0,17.1,28.5,29.8,14.6,9.53,101,23,101,42
Lourde ou Très lourde,400,Septembre,H2a,165.7,0,0,0,0,0,0,0,18.2,28.2,29.6,9.78,3.81,51,10,50.5,16.1
Lourde ou Très lourde,400,Octobre,H2a,92.3,12.4,59.63,656,4227.7,1609.8,690,5578.2,15.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Novembre,H2a,83.3,9.4,63.38,720,6404,3341.2,720,7844,13.3,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Décembre,H2a,52.1,6.2,41.26,744,8679.6,5818.4,744,10167.6,10.5,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Janvier,H2a,52.6,3.8,39.47,744,10795.3,7567.3,744,12283.3,6.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Février,H2a,86.2,2.4,61.19,672,10746.9,7818.9,672,12090.9,5.2,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Mars,H2a,150.4,6.6,95.11,741,8719.6,5541.4,744,10206.4,6.2,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Avril,H2a,159.3,8.2,84.18,712,7309.9,4258.1,720,8742.9,7.6,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Mai,H2a,184.3,11.8,87.48,706,4964.6,2148.4,730,6404,9.1,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Juin,H2a,214.3,13.4,32.35,231,1396.7,507.3,250,1878.6,14.3,29.5,29.5,5.25,1.8,19,6,85.5,29.6
Légère ou Moyenne,800,Juillet,H2a,210.3,0,0,0,0,0,0,0,16.7,29.1,29.1,13.71,5.12,42,14,197.5,74.4
Légère ou Moyenne,800,Août,H2a,186.8,0,0,0,0,0,0,0,15.1,29,29,9.53,3.92,23,9,101,42
Légère ou Moyenne,800,Septembre,H2a,165.7,12.4,48.52,346,2390.1,1009.2,373,3112.4,16.2,28.7,28.7,3.81,2.13,10,5,50.5,16.1
Légère ou Moyenne,800,Octobre,H2a,92.3,10.6,61.93,736,5770.5,2703.4,744,7251.6,13.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Novembre,H2a,83.3,7.4,63.38,720,7844,4724,720,9284,11.3,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Décembre,H2a,52.1,4.2,41.26,744,10167.6,7299.6,744,11655.6,8.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Janvier,H2a,52.6,3.8,39.47,744,10795.3,7567.3,744,12283.3,6.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Février,H2a,86.2,2.4,61.19,672,10746.9,7818.9,672,12090.9,5.2,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Mars,H2a,150.4,6.6,95.11,741,8719.6,5541.4,744,10206.4,6.2,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Avril,H2a,159.3,8.2,84.18,712,7309.9,4258.1,720,8742.9,7.6,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Mai,H2a,184.3,11.6,76.39,617,4465,1990.3,638,5724,9.1,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Juin,H2a,214.3,0,0,0,0,0,0,0,14.3,29.5,29.5,5.25,1.8,19,6,85.5,29.6
Lourde ou Très lourde,800,Juillet,H2a,210.3,0,0,0,0,0,0,0,16.7,29.1,29.1,13.71,5.12,42,14,197.5,74.4
Lourde ou Très lourde,800,Août,H2a,186.8,0,0,0,0,0,0,0,15.1,29,29,9.53,3.92,23,9,101,42
Lourde ou Très lourde,800,Septembre,H2a,165.7,12.5,5.81,72,442.1,134.7,72,586.1,16.2,28.7,28.7,3.81,2.13,10,5,50.5,16.1
Lourde ou Très lourde,800,Octobre,H2a,92.3,10.6,61.93,736,5770.5,2703.4,744,7251.6,13.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Novembre,H2a,83.3,7.4,63.38,720,7844,4724,720,9284,11.3,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Décembre,H2a,52.1,4.2,41.26,744,10167.6,7299.6,744,11655.6,8.5,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Janvier,H2a,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Février,H2a,86.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Mars,H2a,150.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Avril,H2a,159.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Mai,H2a,184.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Juin,H2a,214.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Juillet,H2a,210.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Août,H2a,186.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Septembre,H2a,165.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Octobre,H2a,92.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Novembre,H2a,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Décembre,H2a,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Janvier,H2a,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Février,H2a,86.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Mars,H2a,150.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Avril,H2a,159.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Mai,H2a,184.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Juin,H2a,214.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Juillet,H2a,210.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Août,H2a,186.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Septembre,H2a,165.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Octobre,H2a,92.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Novembre,H2a,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Décembre,H2a,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Janvier,H2b,44.6,6.1,32.4,744,9119.8,5893.2,744,10607.8,9,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Février,H2b,84.3,4.2,59.81,672,9503.7,6575.7,672,10847.7,6.8,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mars,H2b,121.1,8.7,73.5,737,7178,4004.4,741,8657.9,8.7,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Avril,H2b,180.9,10.7,89.72,677,5583.5,2758.8,704,6967.5,9.6,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mai,H2b,194.2,14.5,87.98,597,3506.8,1194.4,651,4762.8,12.9,27.5,29.2,8.67,2.2,41,6,41.3,7.3
Légère ou Moyenne,400,Juin,H2b,210.5,15.9,25.33,180,824,162.4,205,1210.4,15.3,28.7,30.4,12.71,6.92,122,24,122.3,57.8
Légère ou Moyenne,400,Juillet,H2b,227.4,0,0,0,0,0,0,0,17.8,28.4,30.5,18.98,9.01,157,27,157.4,68.2
Légère ou Moyenne,400,Août,H2b,213.7,0,0,0,0,0,0,0,18,28.6,29.9,29.97,16.91,220,46,219.8,85.4
Légère ou Moyenne,400,Septembre,H2b,159.3,0,0,0,0,0,0,0,18.1,28.7,30.9,13.61,5.76,94,16,93.8,45.7
Légère ou Moyenne,400,Octobre,H2b,126.5,12.3,67.13,556,3722,1529.2,592,4872.7,15.5,27.6,28.4,9.8,4.48,29,18,29.3,3.4
Légère ou Moyenne,400,Novembre,H2b,56.9,8.1,42.57,716,7387.1,4286.9,719,8822,12.4,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Décembre,H2b,37,5.6,27.5,744,9081,6214.7,744,10569,9.2,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Janvier,H2b,44.6,6.1,32.4,744,9119.8,5893.2,744,10607.8,9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Février,H2b,84.3,4.2,59.81,672,9503.7,6575.7,672,10847.7,6.8,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mars,H2b,121.1,8.7,73.5,737,7178,4004.4,741,8657.9,8.7,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Avril,H2b,180.9,10.7,89.72,677,5583.5,2758.8,704,6967.5,9.6,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mai,H2b,194.2,13.4,62.9,502,3027.1,1042.7,540,4074.8,12.9,27.5,29.2,8.67,2.2,41,6,41.3,7.3
Lourde ou Très lourde,400,Juin,H2b,210.5,0,0,0,0,0,0,0,15.3,28.7,30.4,12.71,6.92,122,24,122.3,57.8
Lourde ou Très lourde,400,Juillet,H2b,227.4,0,0,0,0,0,0,0,17.8,28.4,30.5,18.98,9.01,157,27,157.4,68.2
Lourde ou Très lourde,400,Août,H2b,213.7,0,0,0,0,0,0,0,18,28.6,29.9,29.97,16.91,220,46,219.8,85.4
Lourde ou Très lourde,400,Septembre,H2b,159.3,0,0,0,0,0,0,0,18.1,28.7,30.9,13.61,5.76,94,16,93.8,45.7
Lourde ou Très lourde,400,Octobre,H2b,126.5,11.4,37.37,272,2055.7,922.7,285,2614.1,15.5,27.6,28.4,9.8,4.48,29,18,29.3,3.4
Lourde ou Très lourde,400,Novembre,H2b,56.9,8.1,42.57,716,7387.1,4286.9,719,8822,12.4,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Décembre,H2b,37,5.6,27.5,744,9081,6214.7,744,10569,9.2,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Janvier,H2b,44.6,4.1,32.4,744,10607.8,7379.8,744,12095.8,7,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Février,H2b,84.3,2.2,59.81,672,10847.7,7919.7,672,12191.7,4.8,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Mars,H2b,121.1,6.7,73.5,741,8657.9,5432.4,742,10140.7,6.7,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Avril,H2b,180.9,8.7,89.72,704,6967.5,3989,718,8393.9,7.6,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Mai,H2b,194.2,12.2,84.09,644,4732.4,2086.9,669,6049.8,10.9,0,0,2.2,0,6,0,41.3,7.3
Légère ou Moyenne,800,Juin,H2b,210.5,13.8,27.62,227,1309.3,426.9,240,1780.9,13.3,29.6,29.6,6.92,4.23,24,14,122.3,57.8
Légère ou Moyenne,800,Juillet,H2b,227.4,0,0,0,0,0,0,0,15.8,29.3,29.3,9.01,5.02,27,17,157.4,68.2
Légère ou Moyenne,800,Août,H2b,213.7,0,0,0,0,0,0,0,16,29.6,29.6,16.91,6.4,46,17,219.8,85.4
Légère ou Moyenne,800,Septembre,H2b,159.3,13,46.26,311,2056.2,855.8,336,2705.6,16.1,29.9,29.9,5.76,4.33,16,11,93.8,45.7
Légère ou Moyenne,800,Octobre,H2b,126.5,11.4,87.26,693,5365.9,2519.2,711,6772,13.5,0,0,4.48,0,8,8,29.3,3.4
Légère ou Moyenne,800,Novembre,H2b,56.9,6.1,42.57,719,8822,5707.6,720,10261.9,10.4,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Décembre,H2b,37,3.6,27.5,744,10569,7701,744,12057,7.2,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Janvier,H2b,44.6,4.1,32.4,744,10607.8,7379.8,744,12095.8,7,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Février,H2b,84.3,2.2,59.81,672,10847.7,7919.7,672,12191.7,4.8,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Mars,H2b,121.1,6.7,73.5,741,8657.9,5432.4,742,10140.7,6.7,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Avril,H2b,180.9,8.7,89.72,704,6967.5,3989,718,8393.9,7.6,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Mai,H2b,194.2,11.4,66.18,564,4254.8,1920.4,583,5403.7,10.9,0,0,2.2,0,6,0,41.3,7.3
Lourde ou Très lourde,800,Juin,H2b,210.5,0,0,0,0,0,0,0,13.3,29.6,29.6,6.92,4.23,24,14,122.3,57.8
Lourde ou Très lourde,800,Juillet,H2b,227.4,0,0,0,0,0,0,0,15.8,29.3,29.3,9.01,5.02,27,17,157.4,68.2
Lourde ou Très lourde,800,Août,H2b,213.7,0,0,0,0,0,0,0,16,29.6,29.6,16.91,6.4,46,17,219.8,85.4
Lourde ou Très lourde,800,Septembre,H2b,159.3,0,0,0,0,0,0,0,16.1,29.9,29.9,5.76,4.33,16,11,93.8,45.7
Lourde ou Très lourde,800,Octobre,H2b,126.5,11.4,87.26,693,5365.9,2519.2,711,6772,13.5,0,0,4.48,0,8,8,29.3,3.4
Lourde ou Très lourde,800,Novembre,H2b,56.9,6.1,42.57,719,8822,5707.6,720,10261.9,10.4,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Décembre,H2b,37,3.6,27.5,744,10569,7701,744,12057,7.2,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Janvier,H2b,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Février,H2b,84.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Mars,H2b,121.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Avril,H2b,180.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Mai,H2b,194.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Juin,H2b,210.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Juillet,H2b,227.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Août,H2b,213.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Septembre,H2b,159.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Octobre,H2b,126.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Novembre,H2b,56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Décembre,H2b,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Janvier,H2b,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Février,H2b,84.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Mars,H2b,121.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Avril,H2b,180.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Mai,H2b,194.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Juin,H2b,210.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Juillet,H2b,227.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Août,H2b,213.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Septembre,H2b,159.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Octobre,H2b,126.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Novembre,H2b,56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Décembre,H2b,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Janvier,H2c,55.5,5.1,40.4,744,9812.8,6588.7,744,11300.8,9.8,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Février,H2c,91.4,6.6,63.77,670,7883.1,4997.8,672,9225,9.5,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mars,H2c,177.4,9.7,110.02,699,6489.1,3607.4,726,7919.8,10.2,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Avril,H2c,172,11.8,86.61,652,4888,2158,685,6225.4,11.3,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mai,H2c,229.3,13.8,3.53,15,121.4,58.6,20,153.8,14.9,27.5,29.9,10.36,2.03,48,6,48.4,11.1
Légère ou Moyenne,400,Juin,H2c,226.3,0,0,0,0,0,0,0,17.5,28.6,30.2,24.31,12.01,222,43,222.4,92.7
Légère ou Moyenne,400,Juillet,H2c,251.2,0,0,0,0,0,0,0,19.8,29.2,30.5,38.21,25.47,465,92,464.9,225.3
Légère ou Moyenne,400,Août,H2c,231.4,0,0,0,0,0,0,0,19.8,30,31.8,32.22,21.61,400,62,399.8,233.2
Légère ou Moyenne,400,Septembre,H2c,183,15.2,53.63,228,1388.2,510.5,272,1887.2,19.7,29.2,32.1,15.39,7.19,133,19,133,77.9
Légère ou Moyenne,400,Octobre,H2c,107.8,15.7,72.63,542,2804.7,880.2,617,3962.5,17.7,28.4,29.8,10.02,5.75,52,22,52.2,19.6
Légère ou Moyenne,400,Novembre,H2c,84.5,9.1,63.3,693,6725.2,3747.6,709,8128.7,14,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Décembre,H2c,51.3,5,38.16,744,9535.9,6667.9,744,11023.9,9.8,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Janvier,H2c,55.5,5.1,40.4,744,9812.8,6588.7,744,11300.8,9.8,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Février,H2c,91.4,6.6,63.77,670,7883.1,4997.8,672,9225,9.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mars,H2c,177.4,9.7,110.02,699,6489.1,3607.4,726,7919.8,10.2,0,0,0,0,0,0,0,0
