inertie,altitude,month,zone_climatique,E-pv(kWh/m²),Text(°C),E(kWh/m²),Nref(19°C),DH19(°Ch),DH14(°Ch),Nref(21°C),DH21(°Ch),Tefs(°C),Textmoy_clim(°C)Tcons=26°C,Textmoy_clim(°C)Tcons=28°C,E_fr(kWh/m²)Tcons=26°C,E_fr(kWh/m²)Tcons=28°C,Nref(26°C),Nref(28°C),DH26(°Ch),DH28(°Ch)
Lourde ou Très lourde,800,Mai,H1a,208.2,13,87.83,635,4359.2,1879.7,663,5655.9,9.4,0,0,0,0,0,0,8.1,0
Lourde ou Très lourde,800,Juin,H1a,217.8,16.1,60.45,358,1795.8,528.5,418,2575.1,13.1,28.4,28.4,5.98,1.14,19,4,74.2,22.5
Lourde ou Très lourde,800,Juillet,H1a,221.9,0,0,0,0,0,0,0,14.1,28.8,28.8,9.54,4.4,33,14,152.8,57.1
Lourde ou Très lourde,800,Août,H1a,173.3,0,0,0,0,0,0,0,15.8,28.9,28.9,11.27,5.05,35,17,166.8,64.2
Lourde ou Très lourde,800,Septembre,H1a,163.6,12.6,67.85,494,3385.3,1401.6,522,4403.7,13.9,0,0,3.18,0,6,0,28.8,7.6
Lourde ou Très lourde,800,Octobre,H1a,88.9,11.8,61.45,683,4977.9,2067.4,722,6393.3,12.7,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Novembre,H1a,59.1,6.8,43.04,720,8298.6,5187.5,720,9738.6,10.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Décembre,H1a,43.2,3,34.26,744,11061.3,8193.3,744,12549.3,7.2,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Janvier,H1a,50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Février,H1a,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Mars,H1a,123.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Avril,H1a,169.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Mai,H1a,208.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Juin,H1a,217.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Juillet,H1a,221.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Août,H1a,173.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Septembre,H1a,163.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Octobre,H1a,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Novembre,H1a,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Décembre,H1a,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Janvier,H1a,50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
